,skill_id,skill_name_x,total_open_positions__c_x,dc,skill_name_y,total_open_positions__c_y,total_devs,Elite,High Quality,Average,Low Quality,Low Experience
0,9,Mobile Testing Frameworks/Tools,3.0,3.0,Mobile Testing Frameworks/Tools,6.0,0.0,,,,,
1,16,iOS Development,156.0,57.0,iOS Development,17.0,888.0,24.0,112.0,492.0,171.0,89.0
2,20,Python,1161.0,318.0,Python,121.0,9939.0,568.0,2169.0,869.0,619.0,5714.0
3,25,Django,84.0,32.0,Django,12.0,1888.0,181.0,507.0,101.0,182.0,917.0
4,26,Go/Golang,278.0,89.0,Go/Golang,28.0,764.0,93.0,236.0,214.0,76.0,145.0
5,27,C++,109.0,10.0,C++,11.0,1140.0,130.0,312.0,344.0,132.0,222.0
6,29,Java,558.0,114.0,Java,44.0,5094.0,452.0,1624.0,1501.0,837.0,680.0
7,30,Ruby on Rails,363.0,95.0,Ruby on Rails,28.0,650.0,49.0,134.0,289.0,93.0,85.0
8,31,Flask,66.0,23.0,Flask,11.0,839.0,100.0,284.0,56.0,92.0,307.0
9,38,HTTP,6.0,0.0,HTTP,5.0,0.0,,,,,
10,49,Security,8.0,0.0,Security,1.0,164.0,28.0,56.0,56.0,15.0,9.0
11,54,DevOps,202.0,51.0,DevOps,5.0,0.0,,,,,
12,55,Docker,173.0,50.0,Docker,12.0,2806.0,446.0,1196.0,382.0,168.0,614.0
13,60,Google Cloud Platform,44.0,12.0,Google Cloud Platform,1.0,9.0,,5.0,2.0,1.0,1.0
14,61,Kubernetes,201.0,47.0,Kubernetes,11.0,733.0,126.0,321.0,143.0,39.0,104.0
15,62,Ansible,15.0,6.0,Ansible,1.0,0.0,,,,,
16,63,CI/CD,123.0,30.0,CI/CD,4.0,0.0,,,,,
17,64,Rust,39.0,2.0,Rust,4.0,65.0,11.0,20.0,17.0,3.0,14.0
18,67,Kafka,37.0,5.0,Kafka,5.0,0.0,,,,,
19,69,Azure,65.0,12.0,Azure,13.0,377.0,61.0,162.0,92.0,37.0,25.0
20,70,GCP,93.0,27.0,GCP,5.0,0.0,,,,,
21,72,,,,SaltStack,1.0,0.0,,,,,
22,73,GitHub,29.0,11.0,GitHub,5.0,0.0,,,,,
23,76,ElasticSearch,33.0,6.0,ElasticSearch,5.0,0.0,,,,,
24,79,Zookeeper,4.0,0.0,Zookeeper,1.0,0.0,,,,,
25,80,Terraform,120.0,28.0,Terraform,4.0,0.0,,,,,
26,83,Prometheus,5.0,2.0,Prometheus,1.0,0.0,,,,,
27,85,Grafana,6.0,2.0,Grafana,1.0,0.0,,,,,
28,86,PostgreSQL,325.0,67.0,PostgreSQL,19.0,7047.0,826.0,2625.0,1144.0,726.0,1726.0
29,87,Redis,30.0,8.0,Redis,3.0,426.0,112.0,174.0,70.0,28.0,42.0
30,91,C#,250.0,71.0,C#,25.0,4384.0,229.0,1066.0,1912.0,787.0,390.0
31,93,JavaScript,965.0,258.0,JavaScript,78.0,439.0,159.0,204.0,28.0,31.0,17.0
32,97,Android SDK,26.0,10.0,Android SDK,2.0,1994.0,98.0,327.0,982.0,427.0,160.0
33,102,MVVM,10.0,3.0,MVVM,8.0,0.0,,,,,
34,104,Scala,60.0,9.0,Scala,4.0,83.0,16.0,36.0,18.0,4.0,9.0
35,105,Swift,92.0,23.0,Swift,5.0,888.0,24.0,112.0,492.0,171.0,89.0
36,107,CSS,327.0,79.0,CSS,30.0,179.0,86.0,73.0,7.0,6.0,7.0
37,108,Android,154.0,49.0,Android,23.0,321.0,12.0,59.0,177.0,55.0,18.0
38,109,.NET,53.0,15.0,.NET,4.0,0.0,,,,,
39,111,REST/RESTful APIs,338.0,87.0,REST/RESTful APIs,11.0,3800.0,685.0,1608.0,708.0,388.0,411.0
