,must_have_skill_ids_tuple,must_have_skill_names,num_must_have_skills,total_positions,chosen_sum_in_bulk_job,active_positions,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience,sk_li,single_skill,id,skill_name
0,"(1013, 2031)",['AWS Lambda' 'React'],2.0,1.0,0,0.0,27.0,16.0,11.0,,,,"['1013', ' 2031']",1013,1013,AWS Lambda
1,"(1013, 2031)",['AWS Lambda' 'React'],2.0,1.0,0,0.0,27.0,16.0,11.0,,,,"['1013', ' 2031']",2031,2031,React
2,"(102, 105, 111)",['MVVM' 'REST/RESTful APIs' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['102', ' 105', ' 111']",102,102,MVVM
3,"(102, 105, 111)",['MVVM' 'REST/RESTful APIs' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['102', ' 105', ' 111']",105,105,Swift
4,"(102, 105, 111)",['MVVM' 'REST/RESTful APIs' 'Swift'],3.0,1.0,0,0.0,0.0,,,,,,"['102', ' 105', ' 111']",111,111,REST/RESTful APIs
5,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 108', ' 111', ' 258', ' 568']",102,102,MVVM
6,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 108', ' 111', ' 258', ' 568']",108,108,Android
7,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 108', ' 111', ' 258', ' 568']",111,111,REST/RESTful APIs
8,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 108', ' 111', ' 258', ' 568']",258,258,Git
9,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 108', ' 111', ' 258', ' 568']",568,568,Android/Kotlin
10,"(102, 108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],4.0,1.0,1,0.0,0.0,,,,,,"['102', ' 108', ' 567', ' 568']",102,102,MVVM
11,"(102, 108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],4.0,1.0,1,0.0,0.0,,,,,,"['102', ' 108', ' 567', ' 568']",108,108,Android
12,"(102, 108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],4.0,1.0,1,0.0,0.0,,,,,,"['102', ' 108', ' 567', ' 568']",567,567,Android/Java
13,"(102, 108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],4.0,1.0,1,0.0,0.0,,,,,,"['102', ' 108', ' 567', ' 568']",568,568,Android/Kotlin
14,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],5.0,1.0,0,0.0,0.0,,,,,,"['102', ' 111', ' 132', ' 265', ' 568']",102,102,MVVM
