,must_have_skill_ids_tuple,must_have_skill_names,job_id,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience
0,"(1013, 2031)",['AWS Lambda' 'React'],1,27.0,16.0,11.0,,,
1,"(102, 105, 111)",['MVVM' 'REST/RESTful APIs' 'Swift'],1,0.0,,,,,
2,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],1,0.0,,,,,
3,"(102, 108, 277)",['Android' 'Kotlin' 'MVVM'],1,0.0,,,,,
4,"(102, 108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],1,0.0,,,,,
5,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],1,0.0,,,,,
6,"(102, 2067)",['MVVM' 'iOS - Swift'],1,0.0,,,,,
7,"(102, 568)",['Android/Kotlin' 'MVVM'],1,0.0,,,,,
8,"(1025, 1615)",['API Integrations  ' 'Magento'],1,0.0,,,,,
9,"(104, 113)",['MySQL' 'Scala'],1,44.0,16.0,20.0,6.0,,2.0
10,"(104, 114, 221, 287)",['NoSQL' 'SQL' 'Scala' 'Spark'],1,0.0,,,,,
11,"(104, 1196)",['Finance' 'Scala'],1,0.0,,,,,
12,"(104, 133, 1324)",['Akka' 'Apache Beam' 'Scala'],1,0.0,,,,,
13,"(104, 158, 2031)",['React' 'Scala' 'Typescript'],1,2.0,2.0,,,,
14,"(104, 167)",['Algorithms and Data Structures' 'Scala'],1,7.0,4.0,2.0,1.0,,
15,"(104, 168, 221)",['Hadoop' 'Scala' 'Spark'],1,0.0,,,,,
16,"(104, 169)",['Clojure' 'Scala'],1,0.0,,,,,
17,"(104, 1847)",['Communication' 'Scala'],1,0.0,,,,,
18,"(104, 192, 221)",['Big Data' 'Scala' 'Spark'],1,0.0,,,,,
19,"(104, 2031)",['React' 'Scala'],2,6.0,2.0,4.0,,,
20,"(104, 221)",['Scala' 'Spark'],3,19.0,7.0,8.0,4.0,,
21,"(104, 221, 1827)",['AWS Administration' 'Scala' 'Spark'],1,3.0,3.0,,,,
22,"(104, 221, 433)",['AWS' 'Scala' 'Spark'],2,1.0,1.0,,,,
23,"(104, 256)",['Data Warehousing' 'Scala'],1,0.0,,,,,
24,"(104, 316)",['Haskell' 'Scala'],1,0.0,,,,,
25,"(104,)",['Scala'],7,83.0,16.0,36.0,18.0,4.0,9.0
26,"(105, 108, 160)",['Android' 'React Native' 'Swift'],2,6.0,1.0,3.0,1.0,,1.0
27,"(105, 108, 2036)",['Android' 'Angular' 'Swift'],1,0.0,,,,,
28,"(105, 108, 268, 304)",['Android' 'Blockchain' 'Machine Learning' 'Swift'],1,0.0,,,,,
29,"(105, 108, 392, 2067)",['Android' 'Flutter' 'Swift' 'iOS - Swift'],1,6.0,2.0,3.0,1.0,,
30,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",1,0.0,,,,,
31,"(105, 116, 158)",['MongoDB' 'Swift' 'Typescript'],1,3.0,2.0,1.0,,,
32,"(105, 132)",['Firebase' 'Swift'],1,166.0,6.0,33.0,82.0,25.0,20.0
33,"(105, 132, 160, 277)",['Firebase' 'Kotlin' 'React Native' 'Swift'],1,2.0,1.0,1.0,,,
34,"(105, 132, 2099)",['Firebase' 'Swift' 'SwiftUI'],1,166.0,6.0,33.0,82.0,25.0,20.0
35,"(105, 1453, 2099)",['3D Graphics' 'Swift' 'SwiftUI'],1,0.0,,,,,
36,"(105, 157)",['Objective-C' 'Swift'],2,0.0,,,,,
37,"(105, 157, 159)",['GraphQL' 'Objective-C' 'Swift'],3,0.0,,,,,
38,"(105, 157, 2099)",['Objective-C' 'Swift' 'SwiftUI'],1,0.0,,,,,
39,"(105, 157, 568)",['Android/Kotlin' 'Objective-C' 'Swift'],1,0.0,,,,,
40,"(105, 158, 160)",['React Native' 'Swift' 'Typescript'],1,6.0,3.0,2.0,,,1.0
41,"(105, 158, 2031)",['React' 'Swift' 'Typescript'],1,4.0,3.0,1.0,,,
42,"(105, 159, 580, 2099)",['Apollo' 'GraphQL' 'Swift' 'SwiftUI'],1,1.0,1.0,,,,
43,"(105, 160)",['React Native' 'Swift'],3,75.0,7.0,25.0,2.0,2.0,39.0
44,"(105, 160, 1013)",['AWS Lambda' 'React Native' 'Swift'],1,0.0,,,,,
45,"(105, 160, 1059)",['React Native' 'Swift' 'Web API'],1,0.0,,,,,
46,"(105, 160, 165, 567)",['Android/Java' 'PHP' 'React Native' 'Swift'],1,3.0,3.0,,,,
47,"(105, 160, 277)",['Kotlin' 'React Native' 'Swift'],1,6.0,1.0,3.0,1.0,,1.0
48,"(105, 160, 406)",['Next.js' 'React Native' 'Swift'],1,1.0,,1.0,,,
49,"(105, 160, 411, 567)",['Android/Java' 'Data Science' 'React Native' 'Swift'],1,0.0,,,,,
50,"(105, 1615, 2067, 2099)",['API Integrations  ' 'Swift' 'SwiftUI' 'iOS - Swift'],1,0.0,,,,,
51,"(105, 2067)",['Swift' 'iOS - Swift'],4,888.0,24.0,112.0,492.0,171.0,89.0
52,"(105, 2099)",['Swift' 'SwiftUI'],1,888.0,24.0,112.0,492.0,171.0,89.0
53,"(105, 277)",['Kotlin' 'Swift'],1,19.0,3.0,10.0,4.0,,2.0
54,"(105, 277, 1849)",['Kotlin' 'Swift' 'Tech Lead'],1,0.0,,,,,
55,"(105, 277, 508)",['Ionic' 'Kotlin' 'Swift'],1,0.0,,,,,
56,"(105, 353)",['Swift' 'UI Development'],1,0.0,,,,,
57,"(105, 567)",['Android/Java' 'Swift'],1,99.0,9.0,45.0,27.0,6.0,12.0
58,"(105, 567, 568)",['Android/Java' 'Android/Kotlin' 'Swift'],1,19.0,3.0,10.0,4.0,,2.0
59,"(105, 568)",['Android/Kotlin' 'Swift'],3,19.0,3.0,10.0,4.0,,2.0
60,"(105,)",['Swift'],21,888.0,24.0,112.0,492.0,171.0,89.0
61,"(1057, 2091)",['Artificial Intelligence' 'Data Engineering'],1,0.0,,,,,
62,"(1057,)",['Artificial Intelligence'],2,0.0,,,,,
63,"(1059, 1615)",['API Integrations  ' 'Web API'],1,0.0,,,,,
64,"(1059, 2087)","['PHP, Laravel' 'Web API']",1,0.0,,,,,
65,"(1059,)",['Web API'],1,0.0,,,,,
66,"(107, 111, 122, 158, 321, 387, 598, 774, 2031, 2036)","['Angular' 'Babel' 'CSS' 'HTML' 'Javascript ES6' 'REST/RESTful APIs'
 'React' 'Typescript' 'Vue.js' 'Webpack']",1,0.0,,,,,
67,"(107, 111, 264, 314, 495, 1123, 1938)","['AJAX ' 'CSS' 'JSON' 'JavaScript Frameworks' 'REST/RESTful APIs'
 'UI Design' 'UX Design']",1,0.0,,,,,
68,"(107, 111, 387, 2020, 2031)",['CSS' 'HTML' 'REST/RESTful APIs' 'React' 'Spring'],1,0.0,,,,,
69,"(107, 111, 387, 598)",['CSS' 'HTML' 'Javascript ES6' 'REST/RESTful APIs'],1,42.0,33.0,7.0,,,2.0
70,"(107, 111, 387, 769, 2031)",['CSS' 'HTML' 'REST/RESTful APIs' 'React' 'Software Development'],1,0.0,,,,,
71,"(107, 111, 406, 2031)",['CSS' 'Next.js' 'REST/RESTful APIs' 'React'],1,3.0,3.0,,,,
72,"(107, 114, 120, 158, 2031)",['CSS' 'Node.js' 'React' 'SQL' 'Typescript'],1,5.0,5.0,,,,
73,"(107, 114, 120, 158, 387, 2031)",['CSS' 'HTML' 'Node.js' 'React' 'SQL' 'Typescript'],1,5.0,5.0,,,,
74,"(107, 114, 120, 287, 2031)",['CSS' 'NoSQL' 'Node.js' 'React' 'SQL'],1,0.0,,,,,
75,"(107, 114, 120, 387, 2031)",['CSS' 'HTML' 'Node.js' 'React' 'SQL'],1,5.0,5.0,,,,
76,"(107, 114, 120, 387, 392)",['CSS' 'Flutter' 'HTML' 'Node.js' 'SQL'],2,0.0,,,,,
77,"(107, 114, 120, 387, 392, 488, 1561)","['CSS' 'Flutter' 'HTML' 'Mobile App Development' 'Mobile Web Development '
 'Node.js' 'SQL']",1,0.0,,,,,
78,"(107, 120, 121, 158, 2031)",['CSS' 'Node.js' 'React' 'Redux' 'Typescript'],1,5.0,5.0,,,,
79,"(107, 120, 121, 160, 2031)",['CSS' 'Node.js' 'React' 'React Native' 'Redux'],1,1.0,1.0,,,,
80,"(107, 120, 122, 158, 387)",['CSS' 'HTML' 'Node.js' 'Typescript' 'Vue.js'],1,9.0,8.0,1.0,,,
81,"(107, 120, 122, 159, 387)",['CSS' 'GraphQL' 'HTML' 'Node.js' 'Vue.js'],1,0.0,,,,,
82,"(107, 120, 158, 159, 2031)",['CSS' 'GraphQL' 'Node.js' 'React' 'Typescript'],1,2.0,2.0,,,,
83,"(107, 120, 160, 2031)",['CSS' 'Node.js' 'React' 'React Native'],1,3.0,3.0,,,,
