,must_have_skill_ids_tuple,must_have_skill_names_y,total_positions,total_open_positions__c,dc,must_have_skill_names,job_id,passed_must_have_skill total_devs,passed_must_have_skill Elite,passed_must_have_skill High Quality,passed_must_have_skill Average,passed_must_have_skill Low Quality,passed_must_have_skill Low Experience
0,"(102, 105, 111)",['MVVM' 'REST/RESTful APIs' 'Swift'],1.0,0.0,0,['MVVM' 'REST/RESTful APIs' 'Swift'],1,0.0,,,,,
1,"(102, 108, 111, 258, 568)",['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],1.0,1.0,0,['Android' 'Android/Kotlin' 'Git' 'MVVM' 'REST/RESTful APIs'],1,0.0,,,,,
2,"(102, 108, 567, 568)",['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],1.0,1.0,1,['Android' 'Android/Java' 'Android/Kotlin' 'MVVM'],1,0.0,,,,,
3,"(102, 111, 132, 265, 568)",['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],1.0,0.0,0,['Android/Kotlin' 'Firebase' 'MVVM' 'REST/RESTful APIs' 'XML'],1,0.0,,,,,
4,"(102, 2067)",['MVVM' 'iOS - Swift'],1.0,0.0,1,['MVVM' 'iOS - Swift'],1,0.0,,,,,
5,"(102, 568)",['Android/Kotlin' 'MVVM'],1.0,0.0,0,['Android/Kotlin' 'MVVM'],1,0.0,,,,,
6,"(104, 113)",['MySQL' 'Scala'],1.0,0.0,0,['MySQL' 'Scala'],1,44.0,16.0,20.0,6.0,,2.0
7,"(104, 114, 221, 287)",['NoSQL' 'SQL' 'Scala' 'Spark'],1.0,1.0,0,['NoSQL' 'SQL' 'Scala' 'Spark'],1,0.0,,,,,
8,"(104, 1196)",['Finance' 'Scala'],1.0,0.0,0,['Finance' 'Scala'],1,0.0,,,,,
9,"(104, 158, 2031)",['React' 'Scala' 'Typescript'],1.0,0.0,0,['React' 'Scala' 'Typescript'],1,2.0,2.0,,,,
10,"(104, 167)",['Algorithms and Data Structures' 'Scala'],1.0,0.0,0,['Algorithms and Data Structures' 'Scala'],1,7.0,4.0,2.0,1.0,,
11,"(104, 168, 221)",['Hadoop' 'Scala' 'Spark'],1.0,0.0,0,['Hadoop' 'Scala' 'Spark'],1,0.0,,,,,
12,"(104, 169)",['Clojure' 'Scala'],1.0,0.0,0,['Clojure' 'Scala'],1,0.0,,,,,
13,"(104, 1847)",['Communication' 'Scala'],1.0,0.0,0,['Communication' 'Scala'],1,0.0,,,,,
14,"(104, 192, 221)",['Big Data' 'Scala' 'Spark'],1.0,0.0,0,['Big Data' 'Scala' 'Spark'],1,0.0,,,,,
15,"(104, 2031)",['React' 'Scala'],4.0,2.0,0,['React' 'Scala'],2,6.0,2.0,4.0,,,
16,"(104, 221)",['Scala' 'Spark'],2.0,0.0,1,['Scala' 'Spark'],3,19.0,7.0,8.0,4.0,,
17,"(104, 221, 1827)",['AWS Administration' 'Scala' 'Spark'],1.0,0.0,0,['AWS Administration' 'Scala' 'Spark'],1,3.0,3.0,,,,
18,"(104, 221, 433)",['AWS' 'Scala' 'Spark'],2.0,0.0,0,['AWS' 'Scala' 'Spark'],2,1.0,1.0,,,,
19,"(104, 256)",['Data Warehousing' 'Scala'],1.0,0.0,0,['Data Warehousing' 'Scala'],1,0.0,,,,,
20,"(104, 316)",['Haskell' 'Scala'],1.0,0.0,0,['Haskell' 'Scala'],1,0.0,,,,,
21,"(104,)",['Scala'],7.0,2.0,2,['Scala'],7,83.0,16.0,36.0,18.0,4.0,9.0
22,"(105, 108, 160)",['Android' 'React Native' 'Swift'],1.0,0.0,0,['Android' 'React Native' 'Swift'],2,6.0,1.0,3.0,1.0,,1.0
23,"(105, 108, 268, 304)",['Android' 'Blockchain' 'Machine Learning' 'Swift'],1.0,0.0,0,['Android' 'Blockchain' 'Machine Learning' 'Swift'],1,0.0,,,,,
24,"(105, 108, 392, 2067)",['Android' 'Flutter' 'Swift' 'iOS - Swift'],1.0,1.0,0,['Android' 'Flutter' 'Swift' 'iOS - Swift'],1,6.0,2.0,3.0,1.0,,
25,"(105, 108, 488, 568, 2067)","['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",1.0,0.0,0,"['Android' 'Android/Kotlin' 'Mobile Web Development ' 'Swift'
 'iOS - Swift']",1,0.0,,,,,
26,"(105, 116, 158)",['MongoDB' 'Swift' 'Typescript'],1.0,0.0,1,['MongoDB' 'Swift' 'Typescript'],1,3.0,2.0,1.0,,,
27,"(105, 132)",['Firebase' 'Swift'],1.0,0.0,0,['Firebase' 'Swift'],1,166.0,6.0,33.0,82.0,25.0,20.0
28,"(105, 132, 160, 277)",['Firebase' 'Kotlin' 'React Native' 'Swift'],1.0,0.0,0,['Firebase' 'Kotlin' 'React Native' 'Swift'],1,2.0,1.0,1.0,,,
29,"(105, 132, 2099)",['Firebase' 'Swift' 'SwiftUI'],1.0,0.0,0,['Firebase' 'Swift' 'SwiftUI'],1,166.0,6.0,33.0,82.0,25.0,20.0
30,"(105, 1453, 2099)",['3D Graphics' 'Swift' 'SwiftUI'],1.0,0.0,0,['3D Graphics' 'Swift' 'SwiftUI'],1,0.0,,,,,
31,"(105, 157)",['Objective-C' 'Swift'],2.0,0.0,1,['Objective-C' 'Swift'],2,0.0,,,,,
32,"(105, 157, 159)",['GraphQL' 'Objective-C' 'Swift'],3.0,0.0,1,['GraphQL' 'Objective-C' 'Swift'],3,0.0,,,,,
33,"(105, 157, 2099)",['Objective-C' 'Swift' 'SwiftUI'],1.0,0.0,1,['Objective-C' 'Swift' 'SwiftUI'],1,0.0,,,,,
34,"(105, 157, 568)",['Android/Kotlin' 'Objective-C' 'Swift'],1.0,0.0,1,['Android/Kotlin' 'Objective-C' 'Swift'],1,0.0,,,,,
35,"(105, 158, 160)",['React Native' 'Swift' 'Typescript'],1.0,0.0,0,['React Native' 'Swift' 'Typescript'],1,6.0,3.0,2.0,,,1.0
