,skill_id,skill_name,total_open_positions__c,total_devs,Elite,High Quality,Average,Low Quality,Low Experience
0,9,Mobile Testing Frameworks/Tools,6.0,0.0,,,,,
1,16,iOS Development,13.0,888.0,24.0,112.0,492.0,171.0,89.0
2,20,Python,60.0,9939.0,568.0,2169.0,869.0,619.0,5714.0
3,25,Django,6.0,1888.0,181.0,507.0,101.0,182.0,917.0
4,26,Go/Golang,12.0,764.0,93.0,236.0,214.0,76.0,145.0
5,27,C++,1.0,1140.0,130.0,312.0,344.0,132.0,222.0
6,29,Java,24.0,5094.0,452.0,1624.0,1501.0,837.0,680.0
7,30,Ruby on Rails,6.0,650.0,49.0,134.0,289.0,93.0,85.0
8,31,Flask,8.0,839.0,100.0,284.0,56.0,92.0,307.0
9,38,HTTP,5.0,0.0,,,,,
10,54,DevOps,2.0,0.0,,,,,
11,55,Docker,8.0,2806.0,446.0,1196.0,382.0,168.0,614.0
12,61,Kubernetes,5.0,733.0,126.0,321.0,143.0,39.0,104.0
13,63,CI/CD,2.0,0.0,,,,,
14,67,Kafka,4.0,0.0,,,,,
15,69,Azure,8.0,377.0,61.0,162.0,92.0,37.0,25.0
16,70,GCP,3.0,0.0,,,,,
17,73,GitHub,4.0,0.0,,,,,
18,76,ElasticSearch,1.0,0.0,,,,,
19,86,PostgreSQL,6.0,7047.0,826.0,2625.0,1144.0,726.0,1726.0
20,91,C#,6.0,4384.0,229.0,1066.0,1912.0,787.0,390.0
21,93,JavaScript,31.0,439.0,159.0,204.0,28.0,31.0,17.0
22,102,MVVM,7.0,0.0,,,,,
23,104,Scala,1.0,83.0,16.0,36.0,18.0,4.0,9.0
24,105,Swift,2.0,888.0,24.0,112.0,492.0,171.0,89.0
25,107,CSS,8.0,179.0,86.0,73.0,7.0,6.0,7.0
26,108,Android,16.0,321.0,12.0,59.0,177.0,55.0,18.0
27,109,.NET,1.0,0.0,,,,,
28,113,MySQL,11.0,7047.0,826.0,2625.0,1144.0,726.0,1726.0
29,114,SQL,12.0,7047.0,826.0,2625.0,1144.0,726.0,1726.0
30,116,MongoDB,3.0,899.0,268.0,397.0,94.0,70.0,70.0
31,120,Node.js,17.0,4286.0,616.0,1598.0,963.0,432.0,677.0
32,121,Redux,8.0,1050.0,199.0,409.0,126.0,66.0,250.0
33,122,Vue.js,5.0,2250.0,356.0,1022.0,347.0,181.0,344.0
34,158,Typescript,32.0,3260.0,550.0,1363.0,397.0,241.0,709.0
35,159,GraphQL,6.0,569.0,159.0,214.0,61.0,28.0,107.0
36,165,PHP,7.0,3586.0,450.0,1407.0,839.0,636.0,254.0
37,179,Network Protocols,2.0,0.0,,,,,
38,196,Object-Oriented Design,1.0,0.0,,,,,
39,221,Spark,3.0,119.0,19.0,49.0,22.0,2.0,27.0
40,223,Tensorflow,3.0,159.0,29.0,63.0,2.0,13.0,52.0
41,242,Airflow,2.0,0.0,,,,,
42,249,Cloud,8.0,0.0,,,,,
43,256,Data Warehousing,1.0,0.0,,,,,
44,257,Business Intelligence,2.0,0.0,,,,,
45,258,Git,8.0,4398.0,609.0,1940.0,900.0,392.0,557.0
46,265,XML,5.0,0.0,,,,,
47,266,Sound and Audio,1.0,0.0,,,,,
48,267,Video,1.0,0.0,,,,,
49,268,Machine Learning,5.0,1657.0,104.0,434.0,150.0,122.0,847.0
50,270,Stanford CoreNLP,1.0,0.0,,,,,
51,277,Kotlin,5.0,321.0,12.0,59.0,177.0,55.0,18.0
52,305,Microservices,9.0,410.0,113.0,188.0,72.0,18.0,19.0
53,308,HTML5,7.0,179.0,86.0,73.0,7.0,6.0,7.0
54,309,CSS3,7.0,179.0,86.0,73.0,7.0,6.0,7.0
55,314,JavaScript Frameworks,10.0,0.0,,,,,
56,321,Webpack,2.0,0.0,,,,,
57,328,Third party APIs,2.0,0.0,,,,,
58,331,MVC,6.0,0.0,,,,,
59,338,Flux,2.0,0.0,,,,,
60,342,TDD/Test-Driven Development,1.0,0.0,,,,,
61,347,Agile,1.0,0.0,,,,,
62,351,Data Analysis,2.0,1199.0,78.0,308.0,112.0,96.0,605.0
63,358,Laravel,2.0,2364.0,292.0,1009.0,605.0,258.0,200.0
64,384,JMeter,1.0,0.0,,,,,
65,386,Manual Testing,4.0,793.0,32.0,72.0,467.0,172.0,50.0
66,387,HTML,2.0,179.0,86.0,73.0,7.0,6.0,7.0
67,392,Flutter,2.0,1532.0,103.0,349.0,572.0,274.0,234.0
68,394,Data Modeling,1.0,0.0,,,,,
69,400,Spring Boot,1.0,1417.0,154.0,531.0,402.0,225.0,105.0
70,411,Data Science,2.0,0.0,,,,,
71,424,Drupal,1.0,0.0,,,,,
72,425,Unity 3D,2.0,0.0,,,,,
73,433,AWS,20.0,164.0,28.0,56.0,56.0,15.0,9.0
74,483,Distributed Systems,1.0,0.0,,,,,
75,484,CircleCI ,1.0,0.0,,,,,
76,485,Jest,3.0,0.0,,,,,
77,541,Deep Learning,1.0,0.0,,,,,
78,558,Azure Databricks,2.0,0.0,,,,,
79,567,Android/Java,7.0,1994.0,98.0,327.0,982.0,427.0,160.0
80,568,Android/Kotlin,8.0,321.0,12.0,59.0,177.0,55.0,18.0
81,598,Javascript ES6,1.0,6728.0,888.0,2694.0,1124.0,782.0,1240.0
82,602,Material UI,1.0,0.0,,,,,
83,610,Adobe Illustrator,1.0,0.0,,,,,
84,666,ASP.NET,2.0,1522.0,151.0,611.0,434.0,240.0,86.0
85,677,Database Administration,1.0,0.0,,,,,
86,710,Python for Data Science,8.0,9939.0,568.0,2169.0,869.0,619.0,5714.0
87,720,AWS Solutions Architecture,6.0,1696.0,293.0,736.0,329.0,136.0,202.0
88,769,Software Development,3.0,1081.0,306.0,461.0,161.0,91.0,62.0
89,836,AWS DevOps,3.0,1696.0,293.0,736.0,329.0,136.0,202.0
90,922,RabbitMQ,4.0,0.0,,,,,
91,1013,AWS Lambda,9.0,215.0,70.0,105.0,11.0,5.0,24.0
92,1014,Cplex,5.0,0.0,,,,,
93,1059,Web API,5.0,0.0,,,,,
94,1078,Web Penetration Testing,1.0,0.0,,,,,
95,1123,UI Design,1.0,509.0,24.0,48.0,273.0,147.0,17.0
96,1299,Back-End Development,1.0,0.0,,,,,
97,1300,ETL,1.0,0.0,,,,,
98,1314,Cypress,3.0,0.0,,,,,
99,1397,AngularJS,3.0,3523.0,318.0,1232.0,1091.0,448.0,434.0
100,1690,Software Testing,2.0,0.0,,,,,
101,1938,UX Design,1.0,509.0,24.0,48.0,273.0,147.0,17.0
102,1939,Automation Testing,10.0,793.0,32.0,72.0,467.0,172.0,50.0
103,1943,Azure DevOps,1.0,48.0,9.0,15.0,21.0,,3.0
104,2031,React,45.0,4377.0,488.0,1208.0,52.0,24.0,2605.0
105,2032,SpringBoot,1.0,0.0,,,,,
106,2050,Python(Django),6.0,1888.0,181.0,507.0,101.0,182.0,917.0
107,2055,Unity,2.0,0.0,,,,,
108,2067,iOS - Swift,7.0,888.0,24.0,112.0,492.0,171.0,89.0
109,2091,Data Engineering,1.0,1458.0,172.0,496.0,158.0,127.0,505.0
110,2092,Data Pipelines,2.0,0.0,,,,,
111,2094,Data Engineer,2.0,1458.0,172.0,496.0,158.0,127.0,505.0
112,2105,Computer Science Fundamentals,1.0,0.0,,,,,
113,2115,QA,16.0,793.0,32.0,72.0,467.0,172.0,50.0
