,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,cluster,developer_chosen,job_id
68,existing,1.Platinum,2.Rest of US,,,2,2,1,1,0.0,9808.0,143.0,17893.0,29.2,,0,0,1.0,11
113,existing,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,3,4,3,0,199.0,No Nice have skill,3807.0,No Nice have skill,29.2,40.0,0,0,1.0,7825
116,existing,1.Platinum,2.Rest of US,Mobile,p0,2,3,2,0,24.0,No Nice have skill,3565.0,No Nice have skill,29.2,40.0,0,0,0.0,6108
117,existing,1.Platinum,2.Rest of US,Web Backend,p0,3,2,3,0,0.0,No Nice have skill,372.0,No Nice have skill,29.2,40.0,0,0,0.0,4684
118,new,1.Platinum,2.Rest of US,Web Frontend,p0,4,6,3,1,61.0,4251.0,849.0,15643.0,29.2,40.0,0,2,0.0,4265
120,existing,1.Platinum,2.Rest of US,Other,p0,4,5,4,0,0.0,No Nice have skill,82.0,No Nice have skill,29.2,40.0,0,0,0.0,5831
121,existing,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,6,7,5,1,12.0,6922.0,186.0,8131.0,29.2,40.0,0,2,0.0,6092
122,new,1.Platinum,2.Rest of US,Full Stack,p0,3,3,2,1,135.0,645.0,183.0,1558.0,29.2,40.0,0,0,0.0,8364
123,new,1.Platinum,2.Rest of US,Full Stack,p0,3,3,2,1,135.0,645.0,183.0,1558.0,29.2,40.0,0,0,0.0,8366
124,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,3,3,3,0,42.0,No Nice have skill,109.0,No Nice have skill,29.2,40.0,0,0,0.0,8363
125,new,1.Platinum,2.Rest of US,Full Stack,p0,2,3,2,0,131.0,No Nice have skill,241.0,No Nice have skill,29.2,40.0,0,0,0.0,4184
128,new,1.Platinum,1.Bay Area,Full Stack,p0,4,4,4,0,186.0,No Nice have skill,1372.0,No Nice have skill,56.6,40.0,0,0,0.0,6367
146,existing,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,2,3,2,0,769.0,No Nice have skill,2672.0,No Nice have skill,29.2,40.0,0,0,1.0,491
218,new,1.Platinum,2.Rest of US,Web Backend,,1,1,1,0,645.0,No Nice have skill,1558.0,No Nice have skill,23.4,40.0,0,0,1.0,846
264,new,1.Platinum,1.Bay Area,Data Engineering,p0,4,4,1,3,1416.0,0,1155.0,100.0,,20.0,0,2,0.0,795
