,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,cluster,target,job_id,developer_chosen
4,existing,4.Bronze,2.Rest of US,,,2,3,2,0,114.0,No Nice have skill,7232.0,No Nice have skill,3.9,,0,5,1.0,55,1.0
23,new,4.Bronze,2.Rest of US,,,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,7.4,,0,3,1.0,3,1.0
45,new,5.Unknown,,,,2,2,2,0,0.0,No Nice have skill,710.0,No Nice have skill,,,0,3,1.0,10,1.0
56,new,4.Bronze,2.Rest of US,,,3,2,1,2,5048.0,0,15171.0,16.0,7.4,,0,0,1.0,35,1.0
62,existing,2.Gold,2.Rest of US,,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,23.4,,0,0,1.0,70,1.0
76,new,4.Bronze,,,,1,1,1,0,1442.0,No Nice have skill,4615.0,No Nice have skill,7.4,,0,3,1.0,14,1.0
80,existing,3.Silver,,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,6.5,,0,5,1.0,107,1.0
94,new,4.Bronze,2.Rest of US,,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,7.4,,0,0,1.0,56,1.0
130,new,4.Bronze,2.Rest of US,,,1,1,1,0,6922.0,No Nice have skill,16794.0,No Nice have skill,7.4,,0,0,0.0,7675,0.0
152,new,5.Unknown,1.Bay Area,Mobile,p1,3,3,1,2,0.0,62.0,1088.0,715.0,,40.0,0,3,0.0,768,0.0
155,new,4.Bronze,,Fullstack (BE-heavy),p0,1,0,1,0,0.0,No Nice have skill,1030.0,No Nice have skill,7.4,20.0,0,3,1.0,245,1.0
156,new,5.Unknown,1.Bay Area,Web Frontend,p0,5,6,3,2,197.0,40.0,1964.0,142.0,,50.0,0,4,0.0,380,0.0
157,existing,5.Unknown,,Web Frontend,p0,1,2,1,0,2214.0,No Nice have skill,4939.0,No Nice have skill,,40.0,0,5,1.0,455,1.0
160,new,5.Unknown,3.Top 30 GDP,Fullstack (BE-heavy),p1,7,7,5,2,23.0,0,541.0,116.0,,,0,4,0.0,812,0.0
161,new,4.Bronze,3.Top 30 GDP,Fullstack (BE-heavy),p1,5,6,2,3,1525.0,141.0,6270.0,10156.0,1.5,40.0,0,4,1.0,232,1.0
162,new,4.Bronze,2.Rest of US,Data Engineering,p1,3,4,3,0,0.0,No Nice have skill,756.0,No Nice have skill,7.4,,0,3,0.0,813,0.0
163,new,2.Gold,1.Bay Area,Fullstack (BE-heavy),,6,7,1,5,2214.0,0,4939.0,10.0,22.2,,0,2,0.0,1020,0.0
165,new,4.Bronze,2.Rest of US,Mobile,p1,2,2,1,1,1442.0,4228.0,4615.0,13071.0,7.4,20.0,0,4,0.0,431,0.0
166,existing,2.Gold,1.Bay Area,Web Backend,p1,7,3,1,6,752.0,0,1103.0,10.0,22.2,40.0,0,1,1.0,629,1.0
167,new,5.Unknown,2.Rest of US,Web Frontend,,2,3,2,0,347.0,No Nice have skill,4202.0,No Nice have skill,,,0,3,0.0,808,0.0
168,new,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p1,2,1,2,0,0.0,No Nice have skill,139.0,No Nice have skill,7.4,40.0,0,3,0.0,973,0.0
172,new,5.Unknown,3.Top 30 GDP,Mobile,p1,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,,40.0,0,3,0.0,756,0.0
174,existing,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p0,2,2,2,0,861.0,No Nice have skill,4547.0,No Nice have skill,3.9,40.0,0,5,1.0,200,1.0
175,new,2.Gold,1.Bay Area,Web Backend,p0,18,10,11,7,0.0,0,0.0,0,22.2,,0,1,0.0,643,0.0
179,new,4.Bronze,3.Top 30 GDP,Fullstack (BE-heavy),,5,6,1,4,9808.0,45.0,17893.0,5505.0,,,0,0,0.0,396,0.0
180,new,5.Unknown,1.Bay Area,Web Frontend,p1,4,6,3,1,37.0,4251.0,2035.0,15643.0,,,0,4,0.0,477,0.0
182,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),,3,4,3,0,146.0,No Nice have skill,2223.0,No Nice have skill,7.4,,0,5,1.0,358,1.0
185,new,5.Unknown,1.Bay Area,Fullstack (FE-heavy),p0,6,8,6,0,0.0,No Nice have skill,25.0,No Nice have skill,,,0,3,0.0,715,0.0
186,new,3.Silver,2.Rest of US,DevOps,p0,5,7,4,1,0.0,213.0,279.0,1698.0,13.0,40.0,0,4,1.0,833,1.0
191,new,2.Gold,2.Rest of US,Web Backend,p0,3,3,3,0,459.0,No Nice have skill,3684.0,No Nice have skill,23.4,40.0,0,2,1.0,743,1.0
192,new,5.Unknown,2.Rest of US,Fullstack (BE-heavy),p1,5,6,3,2,55.0,45.0,744.0,5356.0,,40.0,0,4,0.0,769,0.0
193,new,2.Gold,2.Rest of US,Fullstack (FE-heavy),,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,23.4,,0,2,0.0,1044,0.0
197,new,2.Gold,1.Bay Area,Web Backend,p0,5,4,1,4,752.0,0,1103.0,65.0,22.2,40.0,0,2,1.0,502,1.0
198,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,3,3,1,2,2214.0,0,4939.0,85.0,56.6,40.0,0,2,1.0,528,1.0
199,new,5.Unknown,1.Bay Area,Web Backend,p1,1,1,1,0,645.0,No Nice have skill,1558.0,No Nice have skill,,40.0,0,3,0.0,642,0.0
200,new,5.Unknown,1.Bay Area,Web Frontend,p0,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,,40.0,0,0,0.0,811,0.0
201,new,5.Unknown,2.Rest of US,Mobile,p1,1,1,1,0,1513.0,No Nice have skill,3385.0,No Nice have skill,,,0,3,0.0,891,0.0
202,existing,2.Gold,2.Rest of US,Web Backend,,4,5,1,3,752.0,139.0,1103.0,3135.0,22.2,40.0,0,5,0.0,949,0.0
204,new,4.Bronze,2.Rest of US,Full Stack,p1,4,6,4,0,13.0,No Nice have skill,4850.0,No Nice have skill,7.4,40.0,0,3,1.0,626,1.0
205,existing,2.Gold,2.Rest of US,Web Frontend,p0,6,9,1,5,2214.0,1.0,4939.0,82.0,22.2,,0,1,1.0,687,1.0
206,existing,4.Bronze,2.Rest of US,Web Backend,p0,2,4,2,0,33.0,No Nice have skill,9581.0,No Nice have skill,11.5,40.0,0,5,1.0,202,1.0
207,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),p0,5,7,2,3,459.0,3.0,947.0,13.0,3.9,40.0,0,4,1.0,267,1.0
208,new,5.Unknown,2.Rest of US,Machine Learning,p1,5,2,2,3,0.0,0,995.0,293.0,,40.0,0,4,0.0,464,0.0
210,new,2.Gold,2.Rest of US,Web Frontend,p0,3,4,1,2,4251.0,132.0,15643.0,1712.0,23.4,40.0,0,0,0.0,823,0.0
211,new,4.Bronze,2.Rest of US,Fullstack (FE-heavy),p1,3,3,2,1,0.0,2259.0,487.0,77.0,7.4,40.0,0,3,1.0,223,1.0
212,new,5.Unknown,2.Rest of US,Machine Learning,p1,2,0,2,0,0.0,No Nice have skill,241.0,No Nice have skill,,20.0,0,3,0.0,720,0.0
213,existing,2.Gold,2.Rest of US,Fullstack (BE-heavy),p0,4,6,1,3,645.0,84.0,1558.0,773.0,11.7,40.0,0,5,1.0,762,1.0
