,nice_have_skill_ids,n_devs_nice_have_mcq,elite_devs_nice_have_mcq
0,"1012,113",512.0,438.0
1,1013,213.0,175.0
2,"1013,111",63.0,61.0
3,"1013,113,114,159,580,86",4.0,4.0
4,"1013,113,116",15.0,15.0
5,"1013,120,158,159,55",5.0,5.0
6,"1013,132",5.0,5.0
7,"1013,1403,158,159,20",2.0,2.0
8,"1013,1403,159,304",3.0,3.0
9,"1013,158,282",8.0,8.0
10,"1013,158,433",3.0,2.0
11,"1013,160",6.0,5.0
12,"1013,160,55",2.0,2.0
13,"1013,20",102.0,79.0
14,"1013,20,433",11.0,10.0
15,"1013,20,857",102.0,79.0
16,"1013,2031,55",13.0,13.0
17,"1013,2096,29",3.0,3.0
18,"1013,234",213.0,175.0
19,"1013,25",23.0,23.0
20,"1013,433",16.0,14.0
21,"1013,55",93.0,85.0
22,"1013,55,61",24.0,22.0
23,"1013,857",213.0,175.0
24,"104,20,29",15.0,14.0
25,"104,2031,29",4.0,4.0
26,"104,2062",2.0,2.0
27,"104,26,29",3.0,3.0
28,"104,27,29",1.0,0.0
29,"104,433",1.0,1.0
30,"104,91",3.0,3.0
31,105,873.0,134.0
32,"105,108,160",6.0,4.0
33,"105,108,29",7.0,6.0
34,"105,111",237.0,55.0
35,"105,160",75.0,32.0
36,"105,160,93",1.0,1.0
37,"105,277",19.0,13.0
38,"105,567",97.0,53.0
39,107,178.0,158.0
40,"107,108,387",1.0,1.0
41,"107,111,114,165,2031,387",1.0,1.0
42,"107,111,2031",10.0,10.0
43,"107,113,1367,25,387,93",4.0,4.0
44,"107,113,387,93",45.0,44.0
45,"107,114,158",15.0,14.0
46,"107,114,387",56.0,55.0
47,"107,120,158",26.0,25.0
48,"107,120,308,93",48.0,45.0
49,"107,120,387",55.0,51.0
50,"107,121,158,258,387",9.0,8.0
51,"107,122",37.0,36.0
52,"107,122,1397,2031,387",3.0,3.0
53,"107,158",51.0,49.0
54,"107,158,160",6.0,6.0
55,"107,158,20,387",6.0,6.0
56,"107,158,387",51.0,49.0
57,"107,159,304,387",1.0,0.0
58,"107,159,387",9.0,8.0
59,"107,1710",6.0,6.0
60,"107,20,25,387",3.0,3.0
61,"107,20,387",15.0,15.0
62,"107,2031,2036,387",9.0,8.0
63,"107,2031,387",38.0,36.0
64,"107,2031,387,87,93",1.0,1.0
65,"107,2031,387,93",29.0,29.0
66,"107,2031,93",29.0,29.0
67,"107,2036,387",41.0,37.0
68,"107,282",25.0,22.0
69,"107,29,387",18.0,17.0
70,"107,308",178.0,158.0
71,"107,308,93",141.0,128.0
72,"107,387",178.0,158.0
73,"107,387,526",15.0,15.0
74,"107,387,660",22.0,21.0
75,"107,387,93",141.0,128.0
76,108,284.0,64.0
77,"108,158",3.0,3.0
78,"108,16",19.0,13.0
79,"108,16,29",7.0,6.0
80,"108,160",23.0,12.0
81,"108,2067",19.0,13.0
82,"108,64",1.0,1.0
83,"108,93",1.0,1.0
84,111,3749.0,2282.0
85,"111,1123,120,122,159,1938,2036,26,29",1.0,1.0
86,"111,113,120",247.0,231.0
87,"111,113,433",12.0,11.0
88,"111,114",1144.0,962.0
89,"111,114,308,309",21.0,20.0
90,"111,114,433",12.0,11.0
91,"111,114,433,86",12.0,11.0
92,"111,116,132",21.0,20.0
93,"111,116,25,31",9.0,7.0
94,"111,116,86",148.0,142.0
95,"111,120",698.0,596.0
96,"111,120,158,86",111.0,105.0
97,"111,121",188.0,172.0
98,"111,121,2031",106.0,101.0
99,"111,122",360.0,324.0
100,"111,1403,433",9.0,9.0
101,"111,159",128.0,110.0
102,"111,159,30,61",1.0,1.0
103,"111,159,433,86",2.0,1.0
104,"111,167",295.0,261.0
105,"111,20",824.0,582.0
106,"111,20,2031,61",14.0,14.0
107,"111,2020,2031,2036,25",1.0,1.0
108,"111,2031",478.0,400.0
109,"111,2087",298.0,266.0
110,"111,258",889.0,734.0
111,"111,258,86",361.0,329.0
112,"111,26",185.0,128.0
113,"111,282,86",106.0,102.0
114,"111,29",926.0,662.0
115,"111,305",223.0,190.0
116,"111,305,332",4.0,4.0
117,"111,308",47.0,45.0
118,"111,387",47.0,45.0
119,"111,406",92.0,86.0
120,"111,433",18.0,16.0
121,"111,666",312.0,239.0
122,"111,69",80.0,64.0
123,"111,86,93",48.0,46.0
124,"111,93",110.0,106.0
125,1123,509.0,71.0
126,"1123,114,20",4.0,4.0
127,"1123,120,1938,2036",2.0,2.0
128,"1123,132",4.0,4.0
129,"1123,1397,1938",10.0,7.0
130,"1123,1938",509.0,71.0
131,"1123,1938,20",20.0,13.0
132,"1123,1938,308,93",6.0,6.0
133,"1123,258",12.0,11.0
134,113,6922.0,3431.0
135,"113,114",6922.0,3431.0
136,"113,116",341.0,300.0
137,"113,116,158",110.0,103.0
138,"113,119",2.0,1.0
139,"113,119,433",1.0,0.0
140,"113,120",674.0,594.0
141,"113,121,158,660",70.0,64.0
142,"113,122,165",222.0,211.0
143,"113,132,158,836",9.0,9.0
144,"113,158",463.0,424.0
145,"113,165",878.0,712.0
146,"113,20,26",60.0,49.0
147,"113,25",403.0,283.0
148,"113,282,433",2.0,1.0
149,"113,282,86",193.0,178.0
150,"113,30,433,86",2.0,2.0
151,"113,332,433,87",1.0,0.0
