,id,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,dc_date_bin
4,55,existing,4.Bronze,2.Rest of US,,,2,3,2,0,114.0,No Nice have skill,7232.0,No Nice have skill,3.9,,0,1.0
23,3,new,4.Bronze,2.Rest of US,,,2,3,2,0,1410.0,No Nice have skill,10025.0,No Nice have skill,7.4,,0,1.0
45,10,new,5.Unknown,,,,2,2,2,0,0.0,No Nice have skill,710.0,No Nice have skill,,,0,1.0
56,35,new,4.Bronze,2.Rest of US,,,3,2,1,2,5048.0,0,15171.0,16.0,7.4,,0,1.0
62,70,existing,2.Gold,2.Rest of US,,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,23.4,,0,1.0
68,11,existing,1.Platinum,2.Rest of US,,,2,2,1,1,0.0,9808.0,143.0,17893.0,29.2,,0,1.0
76,14,new,4.Bronze,,,,1,1,1,0,1442.0,No Nice have skill,4615.0,No Nice have skill,7.4,,0,1.0
80,107,existing,3.Silver,,,,1,2,1,0,284.0,No Nice have skill,2554.0,No Nice have skill,6.5,,0,1.0
94,56,new,4.Bronze,2.Rest of US,,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,7.4,,0,1.0
113,7825,existing,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,3,4,3,0,199.0,No Nice have skill,3807.0,No Nice have skill,29.2,40,0,1.0
116,6108,existing,1.Platinum,2.Rest of US,Mobile,p0,2,3,2,0,24.0,No Nice have skill,3565.0,No Nice have skill,29.2,40,0,0.0
117,4684,existing,1.Platinum,2.Rest of US,Web Backend,p0,3,2,3,0,0.0,No Nice have skill,372.0,No Nice have skill,29.2,40,0,0.0
118,4265,new,1.Platinum,2.Rest of US,Web Frontend,p0,4,6,3,1,61.0,4251.0,849.0,15643.0,29.2,40,0,0.0
120,5831,existing,1.Platinum,2.Rest of US,Other,p0,4,5,4,0,0.0,No Nice have skill,82.0,No Nice have skill,29.2,40,0,0.0
121,6092,existing,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,6,7,5,1,12.0,6922.0,186.0,8131.0,29.2,40,0,0.0
122,8364,new,1.Platinum,2.Rest of US,Full Stack,p0,3,3,2,1,135.0,645.0,183.0,1558.0,29.2,40,0,0.0
123,8366,new,1.Platinum,2.Rest of US,Full Stack,p0,3,3,2,1,135.0,645.0,183.0,1558.0,29.2,40,0,0.0
124,8363,new,1.Platinum,2.Rest of US,Fullstack (BE-heavy),p0,3,3,3,0,42.0,No Nice have skill,109.0,No Nice have skill,29.2,40,0,0.0
125,4184,new,1.Platinum,2.Rest of US,Full Stack,p0,2,3,2,0,131.0,No Nice have skill,241.0,No Nice have skill,29.2,40,0,0.0
128,6367,new,1.Platinum,1.Bay Area,Full Stack,p0,4,4,4,0,186.0,No Nice have skill,1372.0,No Nice have skill,56.6,40,0,0.0
130,7675,new,4.Bronze,2.Rest of US,,,1,1,1,0,6922.0,No Nice have skill,16794.0,No Nice have skill,7.4,,0,0.0
146,491,existing,1.Platinum,2.Rest of US,Fullstack (FE-heavy),p0,2,3,2,0,769.0,No Nice have skill,2672.0,No Nice have skill,29.2,40,0,1.0
152,768,new,5.Unknown,1.Bay Area,Mobile,p1,3,3,1,2,0.0,62.0,1088.0,715.0,,40,0,0.0
155,245,new,4.Bronze,,Fullstack (BE-heavy),p0,1,0,1,0,0.0,No Nice have skill,1030.0,No Nice have skill,7.4,20,0,1.0
156,380,new,5.Unknown,1.Bay Area,Web Frontend,p0,5,6,3,2,197.0,40.0,1964.0,142.0,,50,0,0.0
157,455,existing,5.Unknown,,Web Frontend,p0,1,2,1,0,2214.0,No Nice have skill,4939.0,No Nice have skill,,40,0,1.0
160,812,new,5.Unknown,3.Top 30 GDP,Fullstack (BE-heavy),p1,7,7,5,2,23.0,0,541.0,116.0,,,0,0.0
161,232,new,4.Bronze,3.Top 30 GDP,Fullstack (BE-heavy),p1,5,6,2,3,1525.0,141.0,6270.0,10156.0,1.5,40,0,1.0
