country,skill_name,yoe,city_ip,q1,q2,q3,q4,lowcost,highquality
Argentina,Python,2-4,Buenos Aires,0,4,0,0,0,0
Argentina,Python,>=4,Buenos Aires,0,2,2,0,2,0
Argentina,Python,>=4,Córdoba,2,0,0,2,2,4
Argentina,React,2-4,Buenos Aires,0,4,0,0,0,0
Argentina,React,>=4,Buenos Aires,2,2,0,0,0,2
Bangladesh,Python,0-2,Dhaka,4,0,0,0,0,4
Bangladesh,Python,2-4,Dhaka,4,0,0,0,0,4
Bangladesh,Python,>=4,Dhaka,4,0,0,0,0,4
Bangladesh,React,0-2,Dhaka,2,2,0,0,0,2
Bangladesh,React,2-4,Dhaka,2,2,0,0,0,2
Bangladesh,React,>=4,Dhaka,2,2,0,0,0,2
Brazil,Flutter,>=4,São Paulo,2,2,0,0,0,2
Brazil,Go,>=4,Rio de Janeiro,0,0,2,2,4,2
Brazil,Go,>=4,São Paulo,2,2,0,0,0,2
Brazil,Python,0-2,São Paulo,2,2,0,0,0,2
Brazil,Python,2-4,Belo Horizonte,0,0,2,2,4,2
Brazil,Python,2-4,Brasília,1,1,1,1,2,2
Brazil,Python,2-4,Curitiba,1,1,1,1,2,2
Brazil,Python,2-4,Rio de Janeiro,1,1,1,1,2,2
Brazil,Python,2-4,São Paulo,1,1,1,1,2,2
Brazil,Python,>=4,Belo Horizonte,1,1,3,1,4,2
Brazil,Python,>=4,Brasília,1,1,1,3,4,4
Brazil,Python,>=4,Campinas,0,0,0,4,4,4
Brazil,Python,>=4,Curitiba,2,1,1,2,3,4
Brazil,Python,>=4,Florianópolis,2,0,0,2,2,4
Brazil,Python,>=4,Fortaleza,0,0,4,0,4,0
Brazil,Python,>=4,Porto Alegre,2,2,0,0,0,2
Brazil,Python,>=4,Recife,0,0,2,2,4,2
Brazil,Python,>=4,Rio de Janeiro,1,1,3,1,4,2
Brazil,Python,>=4,São Paulo,1,2,2,1,3,2
Brazil,React,0-2,São Paulo,4,0,0,0,0,4
Brazil,React,2-4,Belo Horizonte,0,0,2,2,4,2
Brazil,React,2-4,Brasília,1,1,1,1,2,2
Brazil,React,2-4,Curitiba,0,4,0,0,0,0
Brazil,React,2-4,Rio de Janeiro,1,1,1,1,2,2
Brazil,React,2-4,São Paulo,1,1,1,1,2,2
Brazil,React,>=4,Belo Horizonte,5,0,0,1,1,6
Brazil,React,>=4,Brasília,0,4,0,0,0,0
Brazil,React,>=4,Campinas,0,0,4,0,4,0
Brazil,React,>=4,Curitiba,0,0,2,4,6,4
Brazil,React,>=4,Florianópolis,2,0,0,2,2,4
Brazil,React,>=4,Fortaleza,0,2,2,0,2,0
