skill_name,geo_group,rate_bucket1,yoe_bucket,city_ip,channel_macro_ms,channel_ms,n_devs,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_p2_devs,su_to_icf_perc,su_to_p2_perc,maxCost_per_su,rate_bucket,su_to_icf_90_perc,city_channel
Flutter,ROW,0-10,0.0,Kathmandu,Job Boards,LinkedIn_Jobs,101,8,4,4,4,8,4,0.07920792079207921,0.039603960396039604,0.24875777769194202,0.0,0.039603960396039604,Kathmandu_and_LinkedIn_Jobs
Flutter,ROW,0-10,0.0,Rawalpindi,Job Boards,LinkedIn_Jobs,96,4,1,1,1,3,3,0.041666666666666664,0.03125,0.248757777691942,0.0,0.010416666666666666,Rawalpindi_and_LinkedIn_Jobs
Flutter,ROW,0-10,2.0,Ahmedabad,Job Boards,LinkedIn_Jobs,50,2,0,1,1,1,3,0.04,0.06,0.24875777769194202,0.0,0.02,Ahmedabad_and_LinkedIn_Jobs
Flutter,ROW,0-10,2.0,Chennai,Job Boards,LinkedIn_Jobs,68,2,1,1,1,2,5,0.029411764705882353,0.07352941176470588,0.24875777769194204,0.0,0.014705882352941176,Chennai_and_LinkedIn_Jobs
Flutter,ROW,0-10,2.0,Delhi,Job Boards,LinkedIn_Jobs,83,0,0,0,0,0,5,0.0,0.060240963855421686,0.24875777769194204,0.0,0.0,Delhi_and_LinkedIn_Jobs
Flutter,ROW,0-10,2.0,Istanbul,Job Boards,LinkedIn_Jobs,80,3,1,1,1,2,4,0.0375,0.05,0.24875777769194202,0.0,0.0125,Istanbul_and_LinkedIn_Jobs
Flutter,ROW,0-10,2.0,Mumbai,Job Boards,LinkedIn_Jobs,63,1,1,1,1,1,8,0.015873015873015872,0.12698412698412698,0.24875777769194202,0.0,0.015873015873015872,Mumbai_and_LinkedIn_Jobs
Flutter,ROW,0-10,2.0,Pune,Job Boards,LinkedIn_Jobs,60,1,0,0,0,1,3,0.016666666666666666,0.05,0.24875777769194202,0.0,0.0,Pune_and_LinkedIn_Jobs
Flutter,ROW,0-10,3.0,Ahmedabad,Job Boards,LinkedIn_Jobs,116,0,0,0,0,0,5,0.0,0.04310344827586207,0.24875777769194202,0.0,0.0,Ahmedabad_and_LinkedIn_Jobs
Flutter,ROW,0-10,3.0,Pune,Job Boards,LinkedIn_Jobs,114,7,2,2,2,7,2,0.06140350877192982,0.017543859649122806,0.24875777769194202,0.0,0.017543859649122806,Pune_and_LinkedIn_Jobs
Flutter,ROW,0-10,4.0,Bengaluru,Job Boards,LinkedIn_Jobs,61,3,1,1,1,3,3,0.04918032786885246,0.04918032786885246,0.24875777769194202,0.0,0.01639344262295082,Bengaluru_and_LinkedIn_Jobs
Flutter,ROW,0-10,4.0,Cairo,Job Boards,LinkedIn_Jobs,85,2,0,0,0,2,3,0.023529411764705882,0.03529411764705882,0.248757777691942,0.0,0.0,Cairo_and_LinkedIn_Jobs
